Name,DD.MM
Jakub,03.03
Jakub,14.03
Jakub,03.04
Jakub,17.04
Jakub,27.04
Jakub,29.04
Jakub,30.04
Jakub,01.05
Jakub,06.05
Jakub,01.06
Jakub,05.06
Jakub,08.06
Jakub,05.07
Jakub,14.07
Jakub,25.07
Jakub,06.08
Jakub,23.08
Jakub,02.09
Jakub,09.09
Jakub,21.10
Jakub,01.11
Jakub,19.11
Jakub,27.11
Jakub,28.11
Siemirad,01.02
Siemirad,07.12
Zygbert,01.02
Zygbert,11.07
Zygbert,27.09
Malkolm,28.03
Teonilla,23.08
Danuta,03.01
Danuta,16.02
Danuta,24.06
Danuta,01.10
Zachary,15.03
Zachary,22.03
Zachary,06.04
Zachary,26.05
Zachary,06.09
Karina,02.08
Karina,07.11
Alwar,19.02
Ifigenia,09.07
Ifigenia,21.09
Gustaw,02.08
Gustaw,27.11
Hiltruda,27.09
Wilehad,08.11
Amonaria,12.12
Pękosław,19.05
Pękosław,04.08
Fortunata,14.10
Fortunata,20.11
Amparo,30.10
Syrycjusz,26.11
Bożeciech,21.09
Witalian,27.01
Adamina,16.05
Adamina,24.12
Bogna,20.06
Bogna,23.07
Stosław,20.07
Stosław,20.08
Stosław,27.08
Sirosław,03.10
Hildemar,08.12
Delfina,09.12
Abel,02.01
Abel,15.04
Abel,05.08
Merkuria,12.12
Hermina,25.08
Hermina,24.12
Częstobrona,03.10
Modest,05.02
Modest,12.02
Modest,14.02
Modest,24.02
Modest,25.02
Modest,15.04
Modest,20.07
Modest,17.12
Mirogniew,24.01
Mirogniew,08.02
Mirogniew,30.05
Walter,08.04
Walter,09.04
Walter,02.05
Walter,05.06
Walter,29.11
Eunomia,12.08
Sator,01.09
Marlena,12.09
Marlena,23.10
Marcjan,10.01
Marcjan,16.02
Marcjan,22.05
Marcjan,14.06
Marcjan,17.06
Marcjan,09.08
Marcjan,26.10
Marcjan,02.11
Sylwin,17.02
Sylwin,12.09
Sylwin,28.09
Sydonia,06.06
Sydonia,23.06
Sydonia,23.08
Budziboj,05.09
Chwalimira,09.12
Temistokles,21.12
Bogusława,13.01
Bogusława,22.03
Bogusława,18.04
Strzeżysław,02.01
Strzeżysław,15.05
Bolemir,06.01
Bolemir,06.09
Bolemir,09.09
Pryska,18.01
Gaudencjusz,22.01
Gaudencjusz,19.06
Gaudencjusz,25.08
Gaudencjusz,14.10
Miron,08.08
Miron,17.08
Miron,30.08
Areta,24.10
Polidor,10.12
Marcelin,02.01
Marcelin,09.01
Marcelin,06.04
Marcelin,26.04
Marcelin,02.06
Marcelin,14.07
Marcelin,09.08
Marcelin,27.08
Barbacjan,31.12
Tacjana,12.01
Tacjana,25.01
Korneli,02.02
Korneli,09.07
Korneli,16.09
Antonia,28.02
Antonia,29.02
Antonia,01.03
Antonia,29.04
Antonia,04.05
Antonia,17.05
Gosław,18.04
Gosław,01.12
Gosław,27.12
Gosław,29.12
Trzebiemysł,16.05
Reginbald,13.10
Amelia,05.01
Amelia,30.03
Amelia,10.07
Amelia,07.10
Arian,08.03
Marisa,22.07
Otmar,09.09
Otmar,16.11
Teofilakt,07.03
Romulus,17.02
Romulus,24.03
Krzysztof,02.03
Krzysztof,05.03
Krzysztof,15.03
Krzysztof,14.04
Krzysztof,21.05
Krzysztof,25.07
Krzysztof,20.08
Krzysztof,23.09
Krzysztof,31.10
Kalina,11.07
Oswalda,05.08
Oswalda,22.08
Roch,16.08
Roch,17.11
Naczęsław,11.09
Telesfora,02.01
Ekspedyta,19.04
Ekspedyta,20.04
Stojsław,22.07
Stojsław,27.07
Ingeborga,30.07
Ingeborga,30.08
Celina,21.10
Celina,15.12
Wirydiana,01.02
Wirydiana,16.02
Eubul,07.03
Eutychiusz,14.03
Eutychiusz,26.03
Eutychiusz,23.05
Eutychiusz,02.07
Eutychiusz,24.08
Eutychiusz,19.09
Eutychiusz,05.10
Zdziemir,04.04
Chwalibog,24.01
Laura,22.01
Laura,17.06
Laura,18.08
Laura,19.10
Naczęmir,09.12
Leokrycja,15.03
Brendan,16.05
Rudolfina,21.06
Rudolfina,25.07
Rudolfina,01.08
Rudolfina,17.10
Rudolfina,01.12
Serapia,29.07
Serapia,03.09
Dobiemiest,26.11
Teofan,02.02
Teofan,12.03
Teofan,04.12
Teofan,27.12
Jarosława,21.01
Dorota,06.02
Dorota,25.06
Dorota,07.08
Dorota,05.09
Dalmacjusz,15.02
Dalmacjusz,03.08
Dalmacjusz,26.09
Dalmacjusz,05.12
Adam,25.02
Adam,06.04
Adam,16.05
Adam,31.07
Adam,08.09
Adam,24.12
Aleksandra,20.03
Aleksandra,21.04
Aleksandra,18.05
Aleksandra,02.10
Myślimir,14.04
Myślimir,29.04
Alipiusz,15.08
Alipiusz,26.11
Edward,05.01
Edward,18.03
Edward,13.10
Chryzogon,24.11
Bronisąd,20.05
Świętożyźń,12.07
Sławosz,23.07
Bożena,13.03
Bożena,20.06
Ansbert,09.02
Amos,31.03
Izydora,17.04
Izydora,01.05
Dionizjusz,19.04
Dionizjusz,20.04
Dionizjusz,09.10
Dionizjusz,10.10
Adelard,02.01
Cirzpibog,29.07
Wiara,01.08
Wiara,06.10
Agapita,18.08
Melisa,21.09
Hermenegild,13.04
Hygin,11.01
Roselina,17.01
Rozalia,27.01
Rozalia,07.02
Rozalia,04.09
Tolisława,25.02
Tolisława,25.06
Radomił,11.06
Radomił,17.06
Ermenfryd,25.09
Miecisław,01.01
Walery,28.01
Walery,19.02
Walery,20.02
Walery,14.06
Walery,27.11
Maciej,30.01
Maciej,24.02
Maciej,14.05
Maciej,03.06
Maciej,11.11
Matrona,15.03
Matrona,20.03
Matrona,18.05
Eustacjusz,29.03
Eustacjusz,16.07
Ludmiła,07.05
Ludmiła,16.09
Osmund,04.12
Łukasz,23.01
Łukasz,17.02
Łukasz,02.03
Łukasz,22.04
Łukasz,12.08
Łukasz,10.09
Łukasz,18.10
Łukasz,31.10
Celeryn,03.02
Licyniusz,13.02
Licyniusz,07.08
Licyniusz,01.11
Jarmil,02.06
Taida,08.10
Potapiusz,08.12
Czasława,12.01
Rymwid,20.05
Beda,25.05
Natan,12.07
Świetlana,11.03
Świetlana,30.08
Zacheusz,10.07
Zacheusz,23.08
Zacheusz,17.11
Nonna,05.08
Sabin,09.02
Sabin,13.03
Sabin,11.07
Sabin,20.08
Sabin,07.12
Sabin,11.12
Ksenia,24.01
Ksenia,16.04
Leander,27.01
Leander,27.02
August,28.02
August,29.02
August,22.03
August,08.04
August,07.05
August,01.09
August,07.10
Dziebor,17.09
Wielebor,27.10
Rafał,24.01
Rafał,20.03
Rafał,20.06
Rafał,29.09
Rafał,24.10
Rafał,20.11
Rafał,02.12
Argymir,28.06
Ursycyn,14.08
Ursycyn,02.10
Ursycyn,20.12
Joachima,28.08
Matea,20.09
Borzywoj,05.04
Trzebiesław,13.03
Stella,11.05
Stella,14.07
Stella,04.09
Radegunda,13.08
Mederyka,29.08
Euchariusz,20.02
Euchariusz,08.12
Aleksander,15.01
Aleksander,30.01
Aleksander,18.02
Aleksander,26.02
Aleksander,27.02
Aleksander,10.03
Aleksander,18.03
Aleksander,20.03
Aleksander,24.03
Aleksander,27.03
Aleksander,28.03
Aleksander,24.04
Aleksander,03.05
Aleksander,20.05
Aleksander,29.05
Aleksander,06.06
Aleksander,09.07
Aleksander,10.07
Aleksander,01.08
Aleksander,11.08
Aleksander,26.08
Aleksander,28.08
Aleksander,02.09
Aleksander,13.09
Aleksander,21.09
Aleksander,11.10
Aleksander,09.11
Aleksander,24.11
Aleksander,01.12
Aleksander,12.12
Bonfiliusz,12.02
Bonfiliusz,17.02
Heliodora,04.09
Szymon,05.01
Szymon,06.02
Szymon,16.02
Szymon,08.03
Szymon,24.03
Szymon,16.05
Szymon,01.07
Szymon,18.07
Szymon,03.09
Szymon,14.09
Szymon,28.10
Szymon,03.11
Anna,10.01
Anna,27.02
Anna,07.06
Anna,09.06
Anna,23.06
Anna,15.07
Anna,26.07
Anna,01.09
Haralampiusz,18.02
Kalistrat,26.09
Kalistrat,10.10
Ewa,12.02
Ewa,14.03
Ewa,24.12
Epifaniusz,21.01
Epifaniusz,07.04
Epifaniusz,12.05
Pelagia,09.02
Pelagia,23.03
Pelagia,04.05
Pelagia,09.06
Pelagia,26.06
Pelagia,11.07
Pelagia,08.10
Pelagia,19.10
Pelagia,21.10
Fawila,14.03
Zygmunta,02.05
Zygmunta,17.09
Febronia,25.06
Miriam,15.08
Sozont,07.09
Anter,03.01
Wilibrord,07.11
Zenobiusz,20.02
Zenobiusz,25.05
Zenobiusz,29.10
Zenobiusz,24.12
Abundancjusz,16.09
Sęczygniew,30.10
Winibald,18.12
Natalis,27.01
Natalis,21.02
Natalis,16.03
Natalis,13.05
Natalis,03.09
Kewin,03.06
Liberat,17.08
Liberat,06.09
Liberat,30.10
Liberat,20.12
Łucjusz,08.02
Łucjusz,11.02
Łucjusz,18.02
Łucjusz,24.02
Łucjusz,04.03
Łucjusz,22.04
Łucjusz,23.05
Łucjusz,28.05
Łucjusz,20.08
Łucjusz,10.09
Łucjusz,19.10
Łucjusz,03.12
Laurencja,02.04
Laurencja,08.10
Wiron,08.05
Nemezjusz,18.07
Nemezjusz,01.08
Nemezjusz,19.12
Marcela,31.01
Marcela,28.06
Mojmir,10.01
Mojmir,03.09
Żeligniew,26.01
Żelisław,29.01
Żelisław,21.04
Żelisław,23.07
Żelisław,23.08
Olgierd,11.02
Olgierd,04.11
Nemezja,18.12
Walenty,01.01
Walenty,07.01
Walenty,14.02
Walenty,16.03
Walenty,02.05
Walenty,16.07
Walenty,26.07
Walenty,02.09
Walenty,16.10
Walenty,29.10
Walenty,03.11
Walenty,06.11
Walenty,13.11
Walenty,24.11
Walenty,02.12
Walenty,11.12
Walenty,13.12
Walenty,16.12
Wolebor,13.08
Emiliana,05.01
Odon,11.01
Odon,19.06
Odon,18.11
Krescencjusz,19.04
Krescencjusz,20.04
Krescencjusz,18.07
Krescencjusz,04.08
Krescencjusz,29.08
Krescencjusz,01.10
Krescencjusz,29.12
Firmus,01.06
Blandyna,02.06
Blandyna,05.11
Symforoza,18.07
Lilia,11.08
Majnard,14.08
Majnard,26.09
Cyryna,03.01
Cyryna,10.05
Cyryna,12.06
Cyryna,25.10
Iryda,05.05
Iwon,19.05
Serwul,23.12
Gotard,04.05
Gotard,05.05
Gotard,06.07
